Year,Datetime,Stage,Stadium,City,Home Team Name,Home Team Goals,Away Team Goals,Away Team Name,Attendance,Half-time Home Goals,Half-time Away Goals,Referee,Assistant 1,Assistant 2,RoundID,MatchID,Home Team Initials,Away Team Initials
1958.0,08 Jun 1958 - 14:00 ,Group 3,Rasunda Stadium,Solna ,Sweden,3.0,0.0,Mexico,34107.0,1.0,0.0,LATYCHEV Nikolaj (URS),MOWAT Jack (SCO),ERIKSSON Arne (FIN),220.0,1415.0,SWE,MEX
1958.0,08 Jun 1958 - 19:00 ,Group 4,Nya Ullevi,Gothenburg ,Soviet Union,2.0,2.0,England,49348.0,1.0,0.0,ZSOLT Istvan (HUN),NILSEN Birger (NOR),JORGENSEN Carl Frederik (DEN),220.0,1372.0,URS,ENG
1958.0,08 Jun 1958 - 19:00 ,Group 1,Malmo Stadion,Malm� ,Argentina,1.0,3.0,Germany FR,31156.0,1.0,2.0,LEAFE Reginald (ENG),HELGE Leo (DEN),AHLNER Sten (SWE),220.0,1323.0,ARG,FRG
1958.0,08 Jun 1958 - 19:00 ,Group 3,Jarnvallen,Sandviken ,Hungary,1.0,1.0,Wales,15343.0,1.0,1.0,CODESAL Jose Maria (URU),LEMESIC Leo (YUG),VAN NUFFEL Lucien (BEL),220.0,1407.0,HUN,WAL
1958.0,08 Jun 1958 - 19:00 ,Group 2,Idrottsparken,Norrk�Ping ,France,7.0,3.0,Paraguay,16518.0,2.0,2.0,GARDEAZABAL Juan (ESP),GRIFFITHS Benjamin (WAL),BROZZI Juan (ARG),220.0,1386.0,FRA,PAR
1958.0,08 Jun 1958 - 19:00 ,Group 2,Arosvallen,Vasteras ,Yugoslavia,1.0,1.0,Scotland,9591.0,1.0,0.0,WYSSLING Paul (SUI),ORLANDINI Vincenzo (ITA),MACKO Martin (TCH),220.0,1434.0,YUG,SCO
1958.0,08 Jun 1958 - 19:00 ,Group 4,Rimnersvallen,Udevalla ,Brazil,3.0,0.0,Austria,17788.0,1.0,0.0,GUIGUE Maurice (FRA),DUSCH Albert (GER),BRONKHORST Jan (NED),220.0,1326.0,BRA,AUT
1958.0,08 Jun 1958 - 19:00 ,Group 1,Orjans Vall,Halmstad ,Northern Ireland,1.0,0.0,Czechoslovakia,10647.0,1.0,0.0,SEIPELT Fritz (AUT),ELLIS Arthur (ENG),FERNANDES CAMPOS Joaquim (POR),220.0,1421.0,NIR,TCH
1958.0,11 Jun 1958 - 19:00 ,Group 4,Nya Ullevi,Gothenburg ,Brazil,0.0,0.0,England,40895.0,0.0,0.0,DUSCH Albert (GER),LOEOEW Bertil (SWE),ZSOLT Istvan (HUN),220.0,1339.0,BRA,ENG
1958.0,11 Jun 1958 - 19:00 ,Group 3,Rasunda Stadium,Solna ,Mexico,1.0,1.0,Wales,15150.0,0.0,1.0,LEMESIC Leo (YUG),LATYCHEV Nikolaj (URS),CODESAL Jose Maria (URU),220.0,1418.0,MEX,WAL
1958.0,11 Jun 1958 - 19:00 ,Group 2,Idrottsparken,Norrk�Ping ,Paraguay,3.0,2.0,Scotland,11665.0,2.0,1.0,ORLANDINI Vincenzo (ITA),GARDEAZABAL Juan (ESP),ANDREN Bengt (SWE),220.0,1423.0,PAR,SCO
1958.0,11 Jun 1958 - 19:00 ,Group 2,Arosvallen,Vasteras ,Yugoslavia,3.0,2.0,France,12217.0,1.0,1.0,GRIFFITHS Benjamin (WAL),WYSSLING Paul (SUI),DRAGVOLL Georg (NOR),220.0,1388.0,YUG,FRA
1958.0,11 Jun 1958 - 19:00 ,Group 4,Ryavallen,Boras ,Soviet Union,2.0,0.0,Austria,21239.0,1.0,0.0,JORGENSEN Carl Frederik (DEN),NILSEN Birger (NOR),ACKEBORN Gosta (SWE),220.0,1332.0,URS,AUT
1958.0,11 Jun 1958 - 19:00 ,Group 1,Olympia Stadium,Helsingborg ,Germany FR,2.0,2.0,Czechoslovakia,25000.0,0.0,2.0,ELLIS Arthur (ENG),LEAFE Reginald (ENG),SEIPELT Fritz (AUT),220.0,1391.0,FRG,TCH
1958.0,11 Jun 1958 - 19:00 ,Group 1,Orjans Vall,Halmstad ,Argentina,3.0,1.0,Northern Ireland,14174.0,1.0,1.0,AHLNER Sten (SWE),FERNANDES CAMPOS Joaquim (POR),HELGE Leo (DEN),220.0,1324.0,ARG,NIR
1958.0,12 Jun 1958 - 19:00 ,Group 3,Rasunda Stadium,Solna ,Sweden,2.0,1.0,Hungary,38850.0,1.0,0.0,MOWAT Jack (SCO),VAN NUFFEL Lucien (BEL),DRAGVOLL Georg (NOR),220.0,1406.0,SWE,HUN
1958.0,15 Jun 1958 - 14:00 ,Group 3,Rasunda Stadium,Solna ,Sweden,0.0,0.0,Wales,30287.0,0.0,0.0,VAN NUFFEL Lucien (BEL),LEMESIC Leo (YUG),LATYCHEV Nikolaj (URS),220.0,1438.0,SWE,WAL
1958.0,15 Jun 1958 - 19:00 ,Group 4,Nya Ullevi,Gothenburg ,Brazil,2.0,0.0,Soviet Union,50928.0,1.0,0.0,GUIGUE Maurice (FRA),NILSEN Birger (NOR),JORGENSEN Carl Frederik (DEN),220.0,1344.0,BRA,URS
1958.0,15 Jun 1958 - 19:00 ,Group 1,Malmo Stadion,Malm� ,Germany FR,2.0,2.0,Northern Ireland,21990.0,1.0,1.0,FERNANDES CAMPOS Joaquim (POR),AHLNER Sten (SWE),HELGE Leo (DEN),220.0,1389.0,FRG,NIR
1958.0,15 Jun 1958 - 19:00 ,Group 3,Jarnvallen,Sandviken ,Hungary,4.0,0.0,Mexico,13300.0,1.0,0.0,ERIKSSON Arne (FIN),CODESAL Jose Maria (URU),MOWAT Jack (SCO),220.0,1403.0,HUN,MEX
1958.0,15 Jun 1958 - 19:00 ,Group 2,Tunavallen,Eskilstuna ,Paraguay,3.0,3.0,Yugoslavia,13103.0,1.0,2.0,MACKO Martin (TCH),GRIFFITHS Benjamin (WAL),GARDEAZABAL Juan (ESP),220.0,1426.0,PAR,YUG
1958.0,15 Jun 1958 - 19:00 ,Group 2,Eyravallen,Orebro ,France,2.0,1.0,Scotland,13554.0,2.0,0.0,BROZZI Juan (ARG),ORLANDINI Vincenzo (ITA),WYSSLING Paul (SUI),220.0,1387.0,FRA,SCO
1958.0,15 Jun 1958 - 19:00 ,Group 4,Ryavallen,Boras ,England,2.0,2.0,Austria,15872.0,0.0,1.0,BRONKHORST Jan (NED),DUSCH Albert (GER),ZSOLT Istvan (HUN),220.0,1327.0,ENG,AUT
1958.0,15 Jun 1958 - 19:00 ,Group 1,Olympia Stadium,Helsingborg ,Czechoslovakia,6.0,1.0,Argentina,16418.0,3.0,0.0,ELLIS Arthur (ENG),LEAFE Reginald (ENG),SEIPELT Fritz (AUT),220.0,1325.0,TCH,ARG
1958.0,17 Jun 1958 - 19:00 ,Group 4,Nya Ullevi,Gothenburg ,Soviet Union,1.0,0.0,England,23182.0,0.0,0.0,DUSCH Albert (GER),BRONKHORST Jan (NED),SEIPELT Fritz (AUT),220.0,1373.0,URS,ENG
1958.0,17 Jun 1958 - 19:00 ,Group 1,Malmo Stadion,Malm� ,Northern Ireland,2.0,1.0,Czechoslovakia,6196.0,0.0,0.0,GUIGUE Maurice (FRA),FERNANDES CAMPOS Joaquim (POR),AHLNER Sten (SWE),220.0,1422.0,NIR,TCH
1958.0,17 Jun 1958 - 19:00 ,Group 3,Rasunda Stadium,Solna ,Wales,2.0,1.0,Hungary,2823.0,0.0,1.0,LATYCHEV Nikolaj (URS),CODESAL Jose Maria (URU),ERIKSSON Arne (FIN),220.0,1408.0,WAL,HUN
1958.0,19 Jun 1958 - 19:00 ,Quarter-finals,Nya Ullevi,Gothenburg ,Brazil,1.0,0.0,Wales,25923.0,0.0,0.0,SEIPELT Fritz (AUT),GUIGUE Maurice (FRA),DUSCH Albert (GER),221.0,1345.0,BRA,WAL
1958.0,19 Jun 1958 - 19:00 ,Quarter-finals,Malmo Stadion,Malm� ,Germany FR,1.0,0.0,Yugoslavia,20055.0,1.0,0.0,WYSSLING Paul (SUI),FERNANDES CAMPOS Joaquim (POR),HELGE Leo (DEN),221.0,1392.0,FRG,YUG
1958.0,19 Jun 1958 - 19:00 ,Quarter-finals,Rasunda Stadium,Solna ,Sweden,2.0,0.0,Soviet Union,31900.0,0.0,0.0,LEAFE Reginald (ENG),BROZZI Juan (ARG),DRAGVOLL Georg (NOR),221.0,1437.0,SWE,URS
1958.0,19 Jun 1958 - 19:00 ,Quarter-finals,Idrottsparken,Norrk�Ping ,France,4.0,0.0,Northern Ireland,11800.0,1.0,0.0,GARDEAZABAL Juan (ESP),LATYCHEV Nikolaj (URS),ANDREN Bengt (SWE),221.0,1385.0,FRA,NIR
1958.0,24 Jun 1958 - 19:00 ,Semi-finals,Nya Ullevi,Gothenburg ,Sweden,3.0,1.0,Germany FR,49471.0,1.0,1.0,ZSOLT Istvan (HUN),SEIPELT Fritz (AUT),ELLIS Arthur (ENG),488.0,1390.0,SWE,FRG
1958.0,24 Jun 1958 - 19:00 ,Semi-finals,Rasunda Stadium,Solna ,Brazil,5.0,2.0,France,27100.0,2.0,1.0,GRIFFITHS Benjamin (WAL),WYSSLING Paul (SUI),LEAFE Reginald (ENG),488.0,1340.0,BRA,FRA
1958.0,28 Jun 1958 - 17:00 ,Match for third place,Nya Ullevi,Gothenburg ,France,6.0,3.0,Germany FR,32483.0,3.0,1.0,BROZZI Juan (ARG),ELLIS Arthur (ENG),LUNDELL Bengt (SWE),3483.0,1382.0,FRA,FRG
1958.0,29 Jun 1958 - 15:00 ,Final,Rasunda Stadium,Solna ,Brazil,5.0,2.0,Sweden,49737.0,2.0,1.0,GUIGUE Maurice (FRA),DUSCH Albert (GER),GARDEAZABAL Juan (ESP),3482.0,1343.0,BRA,SWE
1962.0,30 May 1962 - 15:00 ,Group 1,Carlos Dittborn,Arica ,Uruguay,2.0,1.0,Colombia,7908.0,0.0,1.0,DOROGI Andor (HUN),ETZEL FILHO Joao (BRA),GALBA Karol (TCH),231.0,1479.0,URU,COL
1962.0,30 May 1962 - 15:00 ,Group 3,Estadio Sausalito,Vina Del Mar ,Brazil,2.0,0.0,Mexico,10484.0,0.0,0.0,DIENST Gottfried (SUI),STEINER Carl (AUT),SCHWINTE Pierre (FRA),231.0,1461.0,BRA,MEX
1962.0,30 May 1962 - 15:00 ,Group 4,Estadio El Teniente-Codelco,Rancagua ,Argentina,1.0,0.0,Bulgaria,7134.0,1.0,0.0,GARDEAZABAL Juan (ESP),BUERGO Fernando (MEX),MORGAN Raymond (CAN),231.0,1447.0,ARG,BUL
1962.0,30 May 1962 - 15:00 ,Group 2,Nacional,Santiago De Chile ,Chile,3.0,1.0,Switzerland,65006.0,1.0,1.0,ASTON Ken (ENG),BLAVIER Arthur (BEL),YAMASAKI MALDONADO Arturo (MEX),231.0,1473.0,CHI,SUI
1962.0,31 May 1962 - 15:00 ,Group 1,Carlos Dittborn,Arica ,Soviet Union,2.0,0.0,Yugoslavia,9622.0,0.0,0.0,DUSCH Albert (GER),ETZEL FILHO Joao (BRA),ROBLES Carlos (CHI),231.0,1563.0,URS,YUG
1962.0,31 May 1962 - 15:00 ,Group 3,Estadio Sausalito,Vina Del Mar ,Czechoslovakia,1.0,0.0,Spain,12700.0,0.0,0.0,STEINER Carl (AUT),MARINO Esteban (URU),VAN ROSBERG Walter Jose (CUW),231.0,1498.0,TCH,ESP
1962.0,31 May 1962 - 15:00 ,Group 4,Estadio El Teniente-Codelco,Rancagua ,Hungary,2.0,1.0,England,7938.0,1.0,0.0,HORN Leo (NED),BLAVIER Arthur (BEL),GOLDSTEIN Leo (USA),231.0,1490.0,HUN,ENG
1962.0,31 May 1962 - 15:00 ,Group 2,Nacional,Santiago De Chile ,Germany FR,0.0,0.0,Italy,65440.0,0.0,0.0,DAVIDSON Bob (SCO),MORGAN Raymond (CAN),VENTRE Luis Antonio (ARG),231.0,1507.0,FRG,ITA
1962.0,02 Jun 1962 - 15:00 ,Group 1,Carlos Dittborn,Arica ,Yugoslavia,3.0,1.0,Uruguay,8829.0,2.0,1.0,GALBA Karol (TCH),DUSCH Albert (GER),JONNI Cesare (ITA),231.0,1564.0,YUG,URU
1962.0,02 Jun 1962 - 15:00 ,Group 3,Estadio Sausalito,Vina Del Mar ,Brazil,0.0,0.0,Czechoslovakia,14903.0,0.0,0.0,SCHWINTE Pierre (FRA),MASSARO Artur (CHI),DIENST Gottfried (SUI),231.0,1462.0,BRA,TCH
1962.0,02 Jun 1962 - 15:00 ,Group 4,Estadio El Teniente-Codelco,Rancagua ,England,3.0,1.0,Argentina,9794.0,2.0,0.0,LATYCHEV Nikolaj (URS),REGINATO Adolfe Molina (CHI),MORGAN Raymond (CAN),231.0,1450.0,ENG,ARG
1962.0,02 Jun 1962 - 15:00 ,Group 2,Nacional,Santiago De Chile ,Chile,2.0,0.0,Italy,66057.0,0.0,0.0,ASTON Ken (ENG),GOLDSTEIN Leo (USA),BUERGO Fernando (MEX),231.0,1472.0,CHI,ITA
1962.0,03 Jun 1962 - 15:00 ,Group 1,Carlos Dittborn,Arica ,Soviet Union,4.0,4.0,Colombia,8040.0,3.0,1.0,ETZEL FILHO Joao (BRA),DOROGI Andor (HUN),ROBLES Carlos (CHI),231.0,1478.0,URS,COL
1962.0,03 Jun 1962 - 15:00 ,Group 3,Estadio Sausalito,Vina Del Mar ,Spain,1.0,0.0,Mexico,11875.0,0.0,0.0,TESANIC Branko (YUG),VICUNA Claudio (CHI),VAN ROSBERG Walter Jose (CUW),231.0,1497.0,ESP,MEX
1962.0,03 Jun 1962 - 15:00 ,Group 4,Estadio El Teniente-Codelco,Rancagua ,Hungary,6.0,1.0,Bulgaria,7442.0,4.0,0.0,GARDEAZABAL Juan (ESP),DAVIDSON Bob (SCO),SILVA Luis (CHI),231.0,1470.0,HUN,BUL
1962.0,03 Jun 1962 - 15:00 ,Group 2,Nacional,Santiago De Chile ,Germany FR,2.0,1.0,Switzerland,64922.0,1.0,0.0,HORN Leo (NED),LATYCHEV Nikolaj (URS),VENTRE Luis Antonio (ARG),231.0,1510.0,FRG,SUI
1962.0,06 Jun 1962 - 15:00 ,Group 1,Carlos Dittborn,Arica ,Soviet Union,2.0,1.0,Uruguay,9973.0,1.0,0.0,JONNI Cesare (ITA),DOROGI Andor (HUN),DUSCH Albert (GER),231.0,1562.0,URS,URU
1962.0,06 Jun 1962 - 15:00 ,Group 3,Estadio Sausalito,Vina Del Mar ,Brazil,2.0,1.0,Spain,18715.0,0.0,1.0,BUSTAMANTE Sergio (CHI),MARINO Esteban (URU),SUNDHEIM Jose Antonio (COL),231.0,1460.0,BRA,ESP
1962.0,06 Jun 1962 - 15:00 ,Group 4,Estadio El Teniente-Codelco,Rancagua ,Hungary,0.0,0.0,Argentina,7945.0,0.0,0.0,YAMASAKI MALDONADO Arturo (MEX),BULNES R. (CHI),GARDEAZABAL Juan (ESP),231.0,1451.0,HUN,ARG
1962.0,06 Jun 1962 - 15:00 ,Group 2,Nacional,Santiago De Chile ,Germany FR,2.0,0.0,Chile,67224.0,1.0,0.0,DAVIDSON Bob (SCO),ASTON Ken (ENG),HORN Leo (NED),231.0,1471.0,FRG,CHI
1962.0,07 Jun 1962 - 15:00 ,Group 1,Carlos Dittborn,Arica ,Yugoslavia,5.0,0.0,Colombia,7167.0,2.0,0.0,ROBLES Carlos (CHI),JONNI Cesare (ITA),GALBA Karol (TCH),231.0,1480.0,YUG,COL
1962.0,07 Jun 1962 - 15:00 ,Group 3,Estadio Sausalito,Vina Del Mar ,Mexico,3.0,1.0,Czechoslovakia,10648.0,2.0,1.0,DIENST Gottfried (SUI),TESANIC Branko (YUG),SUNDHEIM Jose Antonio (COL),231.0,1544.0,MEX,TCH
1962.0,07 Jun 1962 - 15:00 ,Group 4,Estadio El Teniente-Codelco,Rancagua ,England,0.0,0.0,Bulgaria,5700.0,0.0,0.0,BLAVIER Arthur (BEL),REGINATO Adolfe Molina (CHI),BULNES R. (CHI),231.0,1464.0,ENG,BUL
1962.0,07 Jun 1962 - 15:00 ,Group 2,Nacional,Santiago De Chile ,Italy,3.0,0.0,Switzerland,59828.0,1.0,0.0,LATYCHEV Nikolaj (URS),DAVIDSON Bob (SCO),RUMENTCHEV Dimitar (BUL),231.0,1532.0,ITA,SUI
1962.0,10 Jun 1962 - 14:30 ,Quarter-finals,Carlos Dittborn,Arica ,Chile,2.0,1.0,Soviet Union,17268.0,2.0,1.0,HORN Leo (NED),ETZEL FILHO Joao (BRA),GALBA Karol (TCH),232.0,1474.0,CHI,URS
1962.0,10 Jun 1962 - 14:30 ,Quarter-finals,Estadio Sausalito,Vina Del Mar ,Brazil,3.0,1.0,England,17736.0,1.0,1.0,SCHWINTE Pierre (FRA),DIENST Gottfried (SUI),BUSTAMANTE Sergio (CHI),232.0,1459.0,BRA,ENG
1962.0,10 Jun 1962 - 14:30 ,Quarter-finals,Estadio El Teniente-Codelco,Rancagua ,Czechoslovakia,1.0,0.0,Hungary,11690.0,1.0,0.0,LATYCHEV Nikolaj (URS),BUERGO Fernando (MEX),RUMENTCHEV Dimitar (BUL),232.0,1525.0,TCH,HUN
1962.0,10 Jun 1962 - 14:30 ,Quarter-finals,Nacional,Santiago De Chile ,Yugoslavia,1.0,0.0,Germany FR,63324.0,0.0,0.0,YAMASAKI MALDONADO Arturo (MEX),VENTRE Luis Antonio (ARG),SILVA Jose Antonio (CHI),232.0,1511.0,YUG,FRG
1962.0,13 Jun 1962 - 14:30 ,Semi-finals,Estadio Sausalito,Vina Del Mar ,Czechoslovakia,3.0,1.0,Yugoslavia,5890.0,0.0,0.0,DIENST Gottfried (SUI),STEINER Carl (AUT),JONNI Cesare (ITA),514.0,1559.0,TCH,YUG
1962.0,13 Jun 1962 - 14:30 ,Semi-finals,Nacional,Santiago De Chile ,Brazil,4.0,2.0,Chile,76594.0,2.0,1.0,YAMASAKI MALDONADO Arturo (MEX),MARINO Esteban (URU),VENTRE Luis Antonio (ARG),514.0,1458.0,BRA,CHI
1962.0,16 Jun 1962 - 14:30 ,Match for third place,Nacional,Santiago De Chile ,Chile,1.0,0.0,Yugoslavia,66697.0,0.0,0.0,GARDEAZABAL Juan (ESP),DUSCH Albert (GER),DOROGI Andor (HUN),3481.0,1475.0,CHI,YUG
1962.0,17 Jun 1962 - 14:30 ,Final,Nacional,Santiago De Chile ,Brazil,3.0,1.0,Czechoslovakia,68679.0,1.0,1.0,LATYCHEV Nikolaj (URS),HORN Leo (NED),DAVIDSON Bob (SCO),3480.0,1463.0,BRA,TCH
1966.0,11 Jul 1966 - 19:30 ,Group 1,Wembley Stadium,London ,England,0.0,0.0,Uruguay,87148.0,0.0,0.0,ZSOLT Istvan (HUN),BAKHRAMOV Tofik (URS),RUMENTCHEV Dimitar (BUL),238.0,1636.0,ENG,URU
1966.0,12 Jul 1966 - 19:30 ,Group 2,Hillsborough,Sheffield ,Germany FR,5.0,0.0,Switzerland,36127.0,3.0,0.0,PHILLIPS Hugh (SCO),ADAIR John (NIR),LOEOEW Bertil (SWE),238.0,1656.0,FRG,SUI
1966.0,12 Jul 1966 - 19:30 ,Group 3,Goodison Park,Liverpool ,Brazil,2.0,0.0,Bulgaria,47308.0,1.0,0.0,TSCHENSCHER Kurt (GER),McCABE George (ENG),TAYLOR John (ENG),238.0,1596.0,BRA,BUL
1966.0,12 Jul 1966 - 19:30 ,Group 4,Ayresome Park,Middlesbrough ,Soviet Union,3.0,0.0,Korea DPR,23006.0,2.0,0.0,GARDEAZABAL Juan (ESP),KANDIL Aly Hussein (EGY),DIENST Gottfried (SUI),238.0,1710.0,URS,PRK
1966.0,13 Jul 1966 - 19:30 ,Group 1,Wembley Stadium,London ,France,1.0,1.0,Mexico,69237.0,0.0,0.0,ASHKENAZI Menachem (ISR),FERNANDES CAMPOS Joaquim (POR),GALBA Karol (TCH),238.0,1650.0,FRA,MEX
1966.0,13 Jul 1966 - 19:30 ,Group 3,Old Trafford Stadium,Manchester ,Portugal,3.0,1.0,Hungary,29886.0,1.0,0.0,CALLAGHAN Leo (WAL),HOWLEY Kevin (ENG),CLEMENTS William (ENG),238.0,1675.0,POR,HUN
1966.0,13 Jul 1966 - 19:30 ,Group 2,Villa Park,Birmingham ,Argentina,2.0,1.0,Spain,42738.0,0.0,0.0,RUMENTCHEV Dimitar (BUL),YAMASAKI MALDONADO Arturo (MEX),ZECEVIC Konstantin (YUG),238.0,1578.0,ARG,ESP
1966.0,13 Jul 1966 - 19:30 ,Group 4,Roker Park Ground,Sunderland ,Italy,2.0,0.0,Chile,27199.0,1.0,0.0,DIENST Gottfried (SUI),FINNEY Jim (ENG),KREITLEIN Rudolf (GER),238.0,1608.0,ITA,CHI
1966.0,15 Jul 1966 - 19:30 ,Group 1,White City,London ,Uruguay,2.0,1.0,France,45662.0,2.0,1.0,GALBA Karol (TCH),CALLAGHAN Leo (WAL),MARQUES Armando (BRA),238.0,1653.0,URU,FRA
1966.0,15 Jul 1966 - 19:30 ,Group 2,Hillsborough,Sheffield ,Spain,2.0,1.0,Switzerland,32028.0,0.0,1.0,BAKHRAMOV Tofik (URS),ZSOLT Istvan (HUN),PHILLIPS Hugh (SCO),238.0,1641.0,ESP,SUI
1966.0,15 Jul 1966 - 19:30 ,Group 3,Goodison Park,Liverpool ,Hungary,3.0,1.0,Brazil,51387.0,1.0,1.0,DAGNALL Kenneth (ENG),HOWLEY Kevin (ENG),YAMASAKI MALDONADO Arturo (MEX),238.0,1597.0,HUN,BRA
1966.0,15 Jul 1966 - 19:30 ,Group 4,Ayresome Park,Middlesbrough ,Korea DPR,1.0,1.0,Chile,13792.0,0.0,1.0,KANDIL Aly Hussein (EGY),CRAWFORD William (SCO),FINNEY Jim (ENG),238.0,1609.0,PRK,CHI
1966.0,16 Jul 1966 - 15:00 ,Group 3,Old Trafford Stadium,Manchester ,Portugal,3.0,0.0,Bulgaria,25438.0,2.0,0.0,CODESAL Jose Maria (URU),GOICOECHEA Roberto (ARG),TSCHENSCHER Kurt (GER),238.0,1602.0,POR,BUL
1966.0,16 Jul 1966 - 15:00 ,Group 2,Villa Park,Birmingham ,Germany FR,0.0,0.0,Argentina,46587.0,0.0,0.0,ZECEVIC Konstantin (YUG),FERNANDES CAMPOS Joaquim (POR),LOEOEW Bertil (SWE),238.0,1579.0,FRG,ARG
1966.0,16 Jul 1966 - 15:00 ,Group 4,Roker Park Ground,Sunderland ,Soviet Union,1.0,0.0,Italy,27793.0,0.0,0.0,KREITLEIN Rudolf (GER),CRAWFORD William (SCO),KANDIL Aly Hussein (EGY),238.0,1682.0,URS,ITA
1966.0,16 Jul 1966 - 19:30 ,Group 1,Wembley Stadium,London ,England,2.0,0.0,Mexico,92570.0,1.0,0.0,LO BELLO Concetto (ITA),CHOI Duk Ryong (PRK),ASHKENAZI Menachem (ISR),238.0,1634.0,ENG,MEX
1966.0,19 Jul 1966 - 16:30 ,Group 1,Wembley Stadium,London ,Uruguay,0.0,0.0,Mexico,61112.0,0.0,0.0,LOEOEW Bertil (SWE),VICUNA Claudio (CHI),LO BELLO Concetto (ITA),238.0,1689.0,URU,MEX
1966.0,19 Jul 1966 - 19:30 ,Group 2,Hillsborough,Sheffield ,Argentina,2.0,0.0,Switzerland,32127.0,0.0,0.0,FERNANDES CAMPOS Joaquim (POR),ZSOLT Istvan (HUN),BAKHRAMOV Tofik (URS),238.0,1582.0,ARG,SUI
1966.0,19 Jul 1966 - 19:30 ,Group 3,Goodison Park,Liverpool ,Portugal,3.0,1.0,Brazil,58479.0,2.0,0.0,McCABE George (ENG),CALLAGHAN Leo (WAL),DAGNALL Kenneth (ENG),238.0,1598.0,POR,BRA
1966.0,19 Jul 1966 - 19:30 ,Group 4,Ayresome Park,Middlesbrough ,Korea DPR,1.0,0.0,Italy,17829.0,1.0,0.0,SCHWINTE Pierre (FRA),ADAIR John (NIR),TAYLOR John (ENG),238.0,1679.0,PRK,ITA
1966.0,20 Jul 1966 - 19:30 ,Group 1,Wembley Stadium,London ,England,2.0,0.0,France,98270.0,1.0,0.0,YAMASAKI MALDONADO Arturo (MEX),GALBA Karol (TCH),RUMENTCHEV Dimitar (BUL),238.0,1632.0,ENG,FRA
1966.0,20 Jul 1966 - 19:30 ,Group 3,Old Trafford Stadium,Manchester ,Hungary,3.0,1.0,Bulgaria,24129.0,2.0,1.0,GOICOECHEA Roberto (ARG),GARDEAZABAL Juan (ESP),CODESAL Jose Maria (URU),238.0,1599.0,HUN,BUL
1966.0,20 Jul 1966 - 19:30 ,Group 2,Villa Park,Birmingham ,Germany FR,2.0,1.0,Spain,42187.0,1.0,1.0,MARQUES Armando (BRA),VICUNA Claudio (CHI),CHOI Duk Ryong (PRK),238.0,1637.0,FRG,ESP
1966.0,20 Jul 1966 - 19:30 ,Group 4,Roker Park Ground,Sunderland ,Soviet Union,2.0,1.0,Chile,16027.0,1.0,1.0,ADAIR John (NIR),SCHWINTE Pierre (FRA),CLEMENTS William (ENG),238.0,1610.0,URS,CHI
1966.0,23 Jul 1966 - 15:00 ,Quarter-finals,Wembley Stadium,London ,England,1.0,0.0,Argentina,90584.0,0.0,0.0,KREITLEIN Rudolf (GER),DIENST Gottfried (SUI),ZSOLT Istvan (HUN),239.0,1577.0,ENG,ARG
1966.0,23 Jul 1966 - 15:00 ,Quarter-finals,Hillsborough,Sheffield ,Germany FR,4.0,0.0,Uruguay,40007.0,1.0,0.0,FINNEY Jim (ENG),KANDIL Aly Hussein (EGY),PHILLIPS Hugh (SCO),239.0,1660.0,FRG,URU
1966.0,23 Jul 1966 - 15:00 ,Quarter-finals,Roker Park Ground,Sunderland ,Soviet Union,2.0,1.0,Hungary,26844.0,1.0,0.0,GARDEAZABAL Juan (ESP),CODESAL Jose Maria (URU),FERNANDES CAMPOS Joaquim (POR),239.0,1676.0,URS,HUN
1966.0,23 Jul 1966 - 15:00 ,Quarter-finals,Goodison Park,Liverpool ,Portugal,5.0,3.0,Korea DPR,40248.0,2.0,3.0,ASHKENAZI Menachem (ISR),GALBA Karol (TCH),SCHWINTE Pierre (FRA),239.0,1702.0,POR,PRK
1966.0,25 Jul 1966 - 19:30 ,Semi-finals,Goodison Park,Liverpool ,Germany FR,2.0,1.0,Soviet Union,38273.0,1.0,0.0,LO BELLO Concetto (ITA),CODESAL Jose Maria (URU),GARDEAZABAL Juan (ESP),536.0,1659.0,FRG,URS
1966.0,26 Jul 1966 - 19:30 ,Semi-finals,Wembley Stadium,London ,England,2.0,1.0,Portugal,94493.0,1.0,0.0,SCHWINTE Pierre (FRA),YAMASAKI MALDONADO Arturo (MEX),ZECEVIC Konstantin (YUG),536.0,1635.0,ENG,POR
1966.0,28 Jul 1966 - 19:30 ,Match for third place,Wembley Stadium,London ,Portugal,2.0,1.0,Soviet Union,87696.0,1.0,1.0,DAGNALL Kenneth (ENG),HOWLEY Kevin (ENG),KANDIL Aly Hussein (EGY),3479.0,1709.0,POR,URS
1966.0,30 Jul 1966 - 15:00 ,Final,Wembley Stadium,London ,England,4.0,2.0,Germany FR,96924.0,0.0,0.0,DIENST Gottfried (SUI),BAKHRAMOV Tofik (URS),GALBA Karol (TCH),3478.0,1633.0,ENG,FRG
1970.0,31 May 1970 - 12:00 ,Group 1,Estadio Azteca,Mexico City ,Mexico,0.0,0.0,Soviet Union,107160.0,0.0,0.0,TSCHENSCHER Kurt (GER),DUNSTAN Keith (BER),TAYLOR John (ENG),250.0,1902.0,MEX,URS
1970.0,02 Jun 1970 - 16:00 ,Group 2,Cuauhtemoc,Puebla ,Uruguay,2.0,0.0,Israel,20654.0,1.0,0.0,DAVIDSON Bob (SCO),SCHEURER Ruedi (SUI),TAREKEGN Seyoum (ETH),250.0,1881.0,URU,ISR
